tempo cens kV
4690 1 52.5
740 1 52.5
1010 1 52.5
1190 1 52.5
2450 1 52.5
1390 1 52.5
350 1 52.5
6095 1 52.5
3000 1 52.5
1458 1 52.5
6200 0 52.5
550 1 52.5
1690 1 52.5
745 1 52.5
1225 1 52.5
1480 1 52.5
245 1 52.5
600 1 52.5
246 1 52.5
1805 1 52.5
258 1 55.0
114 1 55.0
312 1 55.0
772 1 55.0
498 1 55.0
162 1 55.0
444 1 55.0
1464 1 55.0
132 1 55.0
1740 0 55.0
1266 1 55.0
300 1 55.0
2440 0 55.0
520 1 55.0
1240 1 55.0
2600 0 55.0
222 1 55.0
144 1 55.0
745 1 55.0
396 1 55.0
510 1 57.5
1000 0 57.5
252 1 57.5
408 1 57.5
528 1 57.5
690 1 57.5
900 0 57.5
714 1 57.5
348 1 57.5
546 1 57.5
174 1 57.5
696 1 57.5
294 1 57.5
234 1 57.5
288 1 57.5
444 1 57.5
390 1 57.5
168 1 57.5
558 1 57.5
288 1 57.5
